"category","source","name","cause","death"
"writers","http://www.wikidata.org/entity/Q18940812","Ahmed Tidiane Cissé",,"2015-01-06T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q15688357","Ahuti Prasad","colorectal cancer","2015-01-04T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q12403471","Ahuva Ozeri",,"2016-12-13T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4696444","Ahwan Sebastian",,"2011-03-02T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q514993","Aída Bortnik",,"2013-04-27T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q4696709","Aidan Higgins",,"2015-12-27T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4696760","Aideen O'Kelly",,"2015-04-22T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q11089630","Aïché Nana",,"2014-01-29T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q531918","Ailo Gaup",,"2014-09-24T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q261420","Aino-Maija Tikkanen",,"2014-03-03T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q4419221","Aivars Siliņš",,"2016-04-10T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q3545375","AJ Perez",,"2011-04-17T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q13455620","Ajit Pandey","myocardial infarction","2013-06-13T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q5579706","Åke Blomqvist",,"2013-09-18T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q5605016","Åke Cato",,"2016-11-09T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q6139890","Åke Johansson",,"2015-07-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q424732","Aké Loba",,"2012-08-03T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q17683487","Akemi Tsukushi",,"2014-04-01T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q419449","Aki Orr",,"2013-02-09T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q17129235","Akihiko Katayama",,"2014-11-16T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q4207363","Akiko Futaba",,"2011-08-16T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q11505142","Akiko Hyūga",,"2011-03-05T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q11665593","Akiko Kazami",,"2016-09-28T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q11354809","Akiko Mishiro",,"2011-07-27T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q19664942","Akin Ogungbe",,"2012-11-01T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q11542465","Akio Yokoyama",,"2014-06-20T00:00:00Z"
"singers","http://www.wikidata.org/entity/Q11451528","Akira Adachi",,"2011-05-20T00:00:00Z"
"writers","http://www.wikidata.org/entity/Q11565072","Akira Takimoto",,"2015-08-01T00:00:00Z"
"actors","http://www.wikidata.org/entity/Q19327174","Akis Florentis",,"2015-02-08T00:00:00Z"
